
   INFO  Server running on [http://0.0.0.0:8055].  

  Press Ctrl+C to stop the server
  2025-04-14 08:44:32 /api/torres .................................. ~ 0.08ms
  2025-04-14 08:44:32 /api/torres .................................. ~ 0.32ms
  2025-04-14 08:44:32 /api/torres ................................ ~ 500.23ms
  2025-04-14 08:44:32 /api/torres .................................. ~ 0.03ms
  2025-04-14 08:44:34 /api/clientes ................................ ~ 0.06ms
  2025-04-14 08:44:34 /api/clientes ................................ ~ 0.30ms
  2025-04-14 08:44:37 /api/sap/projects ................................ ~ 2s
  2025-04-14 08:44:42 /api/sap/projects .......................... ~ 500.23ms
  2025-04-14 08:44:44 /api/sap/projects ................................ ~ 1s
  2025-04-14 08:44:52 /api/sap/projects ................................ ~ 3s
  2025-04-14 08:44:55 /api/sap/projects ................................ ~ 2s
  2025-04-14 08:44:55 /api/sap/projects ................................ ~ 2s
  2025-04-14 08:44:57 /api/sap/projects ............................ ~ 0.31ms
  2025-04-14 08:44:58 /api/sap/projects .......................... ~ 500.23ms
  2025-04-14 08:49:07 /api/sap/projects ................................ ~ 1s
  2025-04-14 08:49:08 /api/sap/projects .......................... ~ 500.24ms
  2025-04-14 08:49:26 /api/clientes ................................ ~ 0.07ms
  2025-04-14 08:49:26 /api/clientes ................................ ~ 0.31ms
  2025-04-14 08:50:23 /api/sap/clients ........................... ~ 500.25ms
  2025-04-14 08:50:24 /api/sap/clients ........................... ~ 500.24ms
  2025-04-14 08:50:27 /api/sap/clients ................................. ~ 1s
  2025-04-14 08:50:29 /api/sap/clients ........................... ~ 500.23ms
  2025-04-14 08:50:30 /api/sap/clients ................................. ~ 4s
  2025-04-14 08:57:20 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 09:01:28 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 09:08:19 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 09:08:20 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 09:08:24 /api/clientes ................................ ~ 0.06ms
  2025-04-14 09:08:24 /api/clientes ................................ ~ 0.30ms
  2025-04-14 09:09:18 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 15:36:59 /api/sap/clients ................................. ~ 1s
  2025-04-14 15:41:17 /api/sap/clients ........................... ~ 500.29ms
  2025-04-14 15:41:44 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 15:43:05 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 15:46:22 /api/sap/clients ................................. ~ 9s
  2025-04-14 16:07:58 /api/sap/clients ................................. ~ 1s
  2025-04-14 16:08:02 /api/sap/clients ................................. ~ 3s
  2025-04-14 16:08:05 /api/sap/clients ............................. ~ 0.06ms
  2025-04-14 16:08:05 /api/sap/clients ............................. ~ 0.25ms
  2025-04-14 16:08:22 /api/sap/clients ................................. ~ 2s
  2025-04-14 16:08:24 /api/sap/clients ............................. ~ 0.03ms
  2025-04-14 16:08:26 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 16:08:30 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 16:08:32 /api/sap/clients ................................. ~ 2s
  2025-04-14 16:09:01 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 16:09:02 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 16:09:03 /api/sap/clients ............................. ~ 0.06ms
  2025-04-14 16:09:07 /api/sap/clients ........................... ~ 500.22ms
  2025-04-14 16:23:34 /api/sap/clients ................................. ~ 2s
  2025-04-14 16:23:40 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 16:23:47 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 16:23:50 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 16:24:02 /api/sap/clients ........................... ~ 500.33ms
  2025-04-14 16:24:08 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 16:24:10 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 16:24:24 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 16:24:26 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 16:24:28 /api/sap/clients ............................. ~ 0.06ms
  2025-04-14 16:24:28 /api/sap/clients ............................. ~ 0.06ms
  2025-04-14 16:24:29 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 16:24:33 /api/sap/clients ........................... ~ 500.25ms
  2025-04-14 16:24:36 /api/sap/clients ................................. ~ 2s
  2025-04-14 16:24:48 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 16:24:53 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 16:25:04 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 16:25:05 /api/sap/clients ........................... ~ 500.23ms
  2025-04-14 16:40:55 /api/sap/clients ........................... ~ 500.23ms
  2025-04-14 16:42:00 /api/clientes ................................ ~ 0.07ms
  2025-04-14 16:42:01 /api/clientes .................................... ~ 1s
  2025-04-14 16:42:02 /api/clientes ................................ ~ 0.03ms
  2025-04-14 16:42:11 /api/sap/clients ........................... ~ 573.73ms
  2025-04-14 16:42:16 /api/sap/clients ........................... ~ 500.23ms
  2025-04-14 16:42:18 /api/clientes/3 .............................. ~ 0.07ms
  2025-04-14 16:42:18 /api/clientes/3 .............................. ~ 0.02ms
  2025-04-14 16:42:18 /api/clientes .............................. ~ 500.22ms
  2025-04-14 16:50:01 /api/torres .................................. ~ 0.07ms
  2025-04-14 16:50:01 /api/torres .................................. ~ 0.31ms
  2025-04-14 16:50:01 /api/torres .................................. ~ 0.07ms
  2025-04-14 16:50:01 /api/torres .................................. ~ 0.03ms
  2025-04-14 16:50:06 /api/appliances .............................. ~ 0.08ms
  2025-04-14 16:50:06 /api/appliances .............................. ~ 0.28ms
  2025-04-14 16:50:06 /api/appliances .............................. ~ 0.02ms
  2025-04-14 16:50:06 /api/appliances .............................. ~ 0.06ms
  2025-04-14 16:50:07 /api/clientes ................................ ~ 0.06ms
  2025-04-14 16:50:07 /api/clientes ................................ ~ 0.02ms
  2025-04-14 16:50:16 /api/sap/clients ................................. ~ 3s
  2025-04-14 16:50:20 /api/sap/clients ........................... ~ 500.25ms
  2025-04-14 16:50:21 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 16:50:22 /api/sap/clients ................................. ~ 2s
  2025-04-14 16:50:25 /api/sap/clients ............................. ~ 0.03ms
  2025-04-14 17:00:25 /api/sap/clients ........................... ~ 500.23ms
  2025-04-14 17:00:28 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:01:37 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:01:46 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:02:26 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:02:30 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:02:31 /api/sap/clients ................................. ~ 2s
  2025-04-14 17:02:38 /api/sap/clients ............................. ~ 0.08ms
  2025-04-14 17:02:40 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:02:41 /api/sap/clients ................................. ~ 3s
  2025-04-14 17:02:45 /api/sap/clients ............................. ~ 0.03ms
  2025-04-14 17:02:45 /api/sap/clients ............................. ~ 0.02ms
  2025-04-14 17:03:30 /api/sap/clients ................................. ~ 1s
  2025-04-14 17:03:31 /api/sap/clients ............................. ~ 0.03ms
  2025-04-14 17:03:32 /api/sap/clients ............................. ~ 0.06ms
  2025-04-14 17:03:33 /api/sap/clients ................................. ~ 2s
  2025-04-14 17:03:35 /api/sap/clients ............................. ~ 0.03ms
  2025-04-14 17:03:50 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:03:51 /api/sap/clients ............................. ~ 0.06ms
  2025-04-14 17:03:56 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:04:02 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:04:03 /api/sap/clients ........................... ~ 500.23ms
  2025-04-14 17:04:07 /api/sap/clients ........................... ~ 500.21ms
  2025-04-14 17:04:08 /api/sap/clients ............................. ~ 0.06ms
  2025-04-14 17:04:09 /api/sap/clients ............................. ~ 0.06ms
  2025-04-14 17:04:11 /api/sap/clients ............................. ~ 0.06ms
  2025-04-14 17:04:13 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:04:15 /api/sap/clients ................................. ~ 3s
  2025-04-14 17:04:18 /api/sap/clients ................................. ~ 3s
  2025-04-14 17:04:18 /api/sap/clients ................................. ~ 3s
  2025-04-14 17:04:25 /api/sap/clients ........................... ~ 500.22ms
  2025-04-14 17:04:27 /api/sap/clients ............................. ~ 0.06ms
  2025-04-14 17:04:29 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:04:33 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:04:34 /api/sap/clients ........................... ~ 500.23ms
  2025-04-14 17:04:47 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:04:51 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:04:53 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:04:53 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:04:55 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:04:56 /api/sap/clients ........................... ~ 500.26ms
  2025-04-14 17:04:59 /api/sap/clients ................................. ~ 3s
  2025-04-14 17:05:02 /api/sap/clients ............................. ~ 0.03ms
  2025-04-14 17:05:03 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:05:04 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:05:05 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:05:06 /api/sap/clients ........................... ~ 500.23ms
  2025-04-14 17:05:08 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:05:11 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:05:19 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:05:21 /api/sap/clients ........................... ~ 500.22ms
  2025-04-14 17:05:23 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:05:42 /api/sap/clients ............................. ~ 0.07ms
  2025-04-14 17:05:44 /api/sap/clients ........................... ~ 500.25ms
  2025-04-14 17:13:06 /api/torres .................................. ~ 0.07ms
  2025-04-14 17:13:06 /api/torres .................................. ~ 0.34ms
  2025-04-14 17:13:06 /api/torres .................................. ~ 0.02ms
  2025-04-14 17:13:06 /api/torres .................................. ~ 0.02ms
  2025-04-14 17:13:06 /api/appliances .............................. ~ 0.07ms
  2025-04-14 17:13:06 /api/appliances .............................. ~ 0.30ms
  2025-04-14 17:13:06 /api/appliances .............................. ~ 0.02ms
  2025-04-14 17:13:06 /api/appliances .............................. ~ 0.02ms
  2025-04-14 17:13:08 /api/alarmes ................................. ~ 0.07ms
  2025-04-14 17:13:08 /api/alarmes ................................. ~ 0.32ms
  2025-04-14 17:13:08 /api/alarmes ................................. ~ 0.02ms
  2025-04-14 17:13:08 /api/alarmes ................................. ~ 0.02ms
  2025-04-14 17:13:08 /api/sensores ................................ ~ 0.09ms
  2025-04-14 17:13:08 /api/sensores ................................ ~ 0.32ms
  2025-04-14 17:13:08 /api/sensores ................................ ~ 0.02ms
  2025-04-14 17:13:08 /api/sensores ................................ ~ 0.02ms
  2025-04-14 17:13:08 /api/alarmes ................................. ~ 0.02ms
  2025-04-14 17:13:08 /api/alarmes ................................. ~ 0.25ms
  2025-04-14 17:13:08 /api/alarmes ............................... ~ 500.28ms
  2025-04-14 17:13:08 /api/alarmes ................................. ~ 0.03ms
  2025-04-14 17:13:09 /api/topologia ............................... ~ 0.08ms
  2025-04-14 17:13:09 /api/topologia ............................... ~ 0.29ms
  2025-04-14 17:13:09 /api/topologia ............................. ~ 500.24ms
  2025-04-14 17:13:10 /api/topologia ............................... ~ 0.03ms
  2025-04-14 17:13:13 /api/dashboard/indicadores ................... ~ 0.07ms
  2025-04-14 17:13:13 /api/dashboard/indicadores ................... ~ 0.03ms
  2025-04-14 17:13:13 /api/dashboard/indicadores ................... ~ 0.02ms
  2025-04-14 17:13:13 /api/dashboard/indicadores ................... ~ 0.02ms
  2025-04-14 17:13:25 /api/torres .................................. ~ 0.10ms
  2025-04-14 17:13:25 /api/torres .................................. ~ 0.36ms
  2025-04-14 17:13:25 /api/torres .................................. ~ 0.03ms
  2025-04-14 17:13:25 /api/torres .................................. ~ 0.02ms
  2025-04-14 17:13:26 /api/appliances .............................. ~ 0.06ms
  2025-04-14 17:13:26 /api/appliances .............................. ~ 0.28ms
  2025-04-14 17:13:26 /api/appliances .............................. ~ 0.02ms
  2025-04-14 17:13:26 /api/appliances .............................. ~ 0.02ms
  2025-04-14 17:13:33 /api/torres ................................ ~ 500.25ms
  2025-04-14 17:13:33 /api/appliances .................................. ~ 1s
  2025-04-14 17:13:34 /api/torres ................................ ~ 500.27ms
  2025-04-14 17:13:35 /api/appliances .............................. ~ 0.03ms
  2025-04-14 17:13:40 /api/torres .................................. ~ 0.07ms
  2025-04-14 17:13:40 /api/torres .................................. ~ 0.30ms
  2025-04-14 17:13:40 /api/torres ................................ ~ 500.24ms
  2025-04-14 17:13:41 /api/torres .................................. ~ 0.03ms
  2025-04-14 17:13:41 /api/appliances .............................. ~ 0.07ms
  2025-04-14 17:13:41 /api/appliances .............................. ~ 0.28ms
  2025-04-14 17:13:41 /api/appliances ............................ ~ 500.25ms
  2025-04-14 17:13:42 /api/appliances .............................. ~ 0.03ms
  2025-04-14 17:13:43 /api/appliances .............................. ~ 0.08ms
  2025-04-14 17:13:43 /api/torres .................................. ~ 0.29ms
  2025-04-14 17:13:43 /api/appliances .............................. ~ 0.02ms
  2025-04-14 17:13:43 /api/torres .................................. ~ 0.02ms
  2025-04-14 17:13:46 /api/torres .................................. ~ 0.08ms
  2025-04-14 17:13:46 /api/torres .................................. ~ 0.30ms
  2025-04-14 17:13:46 /api/torres ................................ ~ 500.24ms
  2025-04-14 17:13:47 /api/torres .................................. ~ 0.03ms
  2025-04-15 09:37:21 /api/login ................................... ~ 0.07ms
  2025-04-15 09:37:21 /api/login ....................................... ~ 1s
  2025-04-15 09:37:29 /api/login ................................... ~ 0.11ms
  2025-04-15 09:37:29 /api/login ................................... ~ 0.03ms
  2025-04-15 09:37:29 /api/dashboard/indicadores ................... ~ 0.04ms
  2025-04-15 09:37:29 /api/dashboard/indicadores ................... ~ 0.17ms
  2025-04-15 09:37:29 /api/dashboard/indicadores ................. ~ 500.24ms
  2025-04-15 09:37:29 /api/dashboard/indicadores ................... ~ 0.03ms
  2025-04-15 09:37:31 /api/clientes .............................. ~ 500.24ms
  2025-04-15 09:37:32 /api/clientes ................................ ~ 0.03ms
  2025-04-15 09:37:33 /api/torres .................................. ~ 0.08ms
  2025-04-15 09:37:33 /api/torres .................................. ~ 0.34ms
  2025-04-15 09:37:33 /api/torres ................................ ~ 500.23ms
  2025-04-15 09:37:33 /api/torres .................................. ~ 0.03ms
  2025-04-15 09:37:39 /api/appliances .............................. ~ 0.10ms
  2025-04-15 09:37:39 /api/appliances .............................. ~ 0.30ms
  2025-04-15 09:37:39 /api/appliances .................................. ~ 1s
  2025-04-15 09:37:40 /api/torres .................................. ~ 0.04ms
  2025-04-15 09:37:40 /api/torres .................................. ~ 0.23ms
  2025-04-15 09:37:40 /api/clientes ................................ ~ 0.03ms
  2025-04-15 09:37:40 /api/torres ................................ ~ 500.25ms
  2025-04-15 09:37:40 /api/appliances .............................. ~ 0.02ms
  2025-04-15 09:37:40 /api/clientes ................................ ~ 0.02ms
  2025-04-15 09:37:40 /api/torres .................................. ~ 0.02ms
  2025-04-15 09:43:35 /api/clientes ................................ ~ 0.07ms
  2025-04-15 09:43:35 /api/clientes ................................ ~ 0.06ms
  2025-04-15 09:43:41 /api/sap/clients ................................. ~ 2s
  2025-04-15 09:43:44 /api/sap/clients ................................. ~ 1s
  2025-04-15 09:43:46 /api/sap/clients ............................. ~ 0.07ms
  2025-04-15 09:43:51 /api/sap/clients ................................. ~ 3s
  2025-04-15 09:43:54 /api/sap/clients ................................. ~ 3s
  2025-04-15 09:48:44 /api/sap/clients ................................. ~ 2s
  2025-04-15 09:48:47 /api/sap/clients ............................. ~ 0.04ms
  2025-04-15 09:48:47 /api/sap/clients ............................. ~ 0.21ms
  2025-04-15 09:48:51 /api/sap/clients ............................. ~ 0.07ms
  2025-04-15 09:48:55 /api/sap/clients ............................. ~ 0.07ms
  2025-04-15 09:49:05 /api/torres ................................ ~ 500.32ms
  2025-04-15 09:49:05 /api/torres ................................ ~ 500.56ms
  2025-04-15 09:49:05 /api/torres .................................. ~ 0.02ms
  2025-04-15 09:49:06 /api/torres .................................. ~ 0.02ms
  2025-04-15 09:49:43 /api/alarmes ................................. ~ 0.08ms
  2025-04-15 09:49:43 /api/alarmes ................................. ~ 0.30ms
